Site,VisitDate,Discharge_cfs,Turbidity_NTU,Technician
Catawba Creek,2025-01-15,26.6,5.9,J. Alvarez
Stroubles Creek,2025-01-15,28.9,11.7,R. Okafor
Tinker Creek,2025-01-15,62.3,9.4,M. Pham
Toms Run,2025-01-15,46.0,7.3,J. Alvarez
Catawba Creek,2025-02-15,29.6,7.6,R. Okafor
Stroubles Creek,2025-02-15,33.1,14.5,M. Pham
Tinker Creek,2025-02-15,64.1,9.7,J. Alvarez
Toms Run,2025-02-15,51.4,8.4,R. Okafor
Catawba Creek,2025-03-15,42.2,16.3,M. Pham
Stroubles Creek,2025-03-15,54.6,30.1,J. Alvarez
Tinker Creek,2025-03-15,109.1,25.8,R. Okafor
Toms Run,2025-03-15,74.5,22.9,M. Pham
Catawba Creek,2025-04-15,55.4,25.9,J. Alvarez
Stroubles Creek,2025-04-15,59.2,42.7,R. Okafor
Tinker Creek,2025-04-15,133.7,34.9,M. Pham
Toms Run,2025-04-15,101.9,29.8,J. Alvarez
Catawba Creek,2025-05-15,40.0,15.0,R. Okafor
Stroubles Creek,2025-05-15,44.5,28.7,M. Pham
Tinker Creek,2025-05-15,95.4,21.0,J. Alvarez
Toms Run,2025-05-15,68.4,20.7,R. Okafor
Catawba Creek,2025-06-15,20.8,8.4,M. Pham
Stroubles Creek,2025-06-15,25.5,16.2,J. Alvarez
Tinker Creek,2025-06-15,49.7,11.5,R. Okafor
Toms Run,2025-06-15,41.3,10.0,M. Pham
Catawba Creek,2025-07-15,12.5,5.5,J. Alvarez
Stroubles Creek,2025-07-15,14.4,9.6,R. Okafor
Tinker Creek,2025-07-15,28.2,8.2,M. Pham
Toms Run,2025-07-15,22.5,6.6,J. Alvarez
Catawba Creek,2025-08-15,10.1,4.6,R. Okafor
Stroubles Creek,2025-08-15,11.4,8.1,M. Pham
Tinker Creek,2025-08-15,25.9,6.2,J. Alvarez
Toms Run,2025-08-15,17.1,5.8,R. Okafor
Catawba Creek,2025-09-15,13.2,6.9,M. Pham
Stroubles Creek,2025-09-15,15.9,10.7,J. Alvarez
Tinker Creek,2025-09-15,32.3,8.2,R. Okafor
Toms Run,2025-09-15,26.4,8.4,M. Pham
Catawba Creek,2025-10-15,18.7,7.5,J. Alvarez
Stroubles Creek,2025-10-15,23.9,15.0,R. Okafor
Tinker Creek,2025-10-15,49.8,11.0,M. Pham
Toms Run,2025-10-15,37.1,9.7,J. Alvarez
Catawba Creek,2025-11-15,30.0,11.4,R. Okafor
Stroubles Creek,2025-11-15,33.8,23.9,M. Pham
Tinker Creek,2025-11-15,65.6,14.6,J. Alvarez
Toms Run,2025-11-15,50.5,13.5,R. Okafor
Catawba Creek,2025-12-15,31.0,12.9,M. Pham
Stroubles Creek,2025-12-15,37.5,26.2,J. Alvarez
Tinker Creek,2025-12-15,83.7,18.0,R. Okafor
Toms Run,2025-12-15,56.1,14.9,M. Pham
Catawba Creek,2026-01-15,25.7,6.6,J. Alvarez
Stroubles Creek,2026-01-15,32.3,13.6,R. Okafor
Tinker Creek,2026-01-15,55.3,9.5,M. Pham
Toms Run,2026-01-15,48.6,8.3,J. Alvarez
Catawba Creek,2026-02-15,30.6,7.1,R. Okafor
Stroubles Creek,2026-02-15,32.5,14.3,M. Pham
Tinker Creek,2026-02-15,68.8,11.6,J. Alvarez
Toms Run,2026-02-15,50.1,9.8,R. Okafor
Catawba Creek,2026-03-15,44.1,16.3,M. Pham
Stroubles Creek,2026-03-15,55.4,37.2,J. Alvarez
Tinker Creek,2026-03-15,100.6,25.4,R. Okafor
Toms Run,2026-03-15,78.0,20.7,M. Pham
Catawba Creek,2026-04-15,48.7,27.1,J. Alvarez
Stroubles Creek,2026-04-15,66.2,47.6,R. Okafor
Tinker Creek,2026-04-15,116.5,32.6,M. Pham
Toms Run,2026-04-15,99.0,31.3,J. Alvarez
Catawba Creek,2026-05-15,35.3,14.7,R. Okafor
Stroubles Creek,2026-05-15,43.9,25.3,M. Pham
Tinker Creek,2026-05-15,96.2,22.6,J. Alvarez
Toms Run,2026-05-15,72.1,20.1,R. Okafor
Catawba Creek,2026-06-15,21.4,9.7,M. Pham
Stroubles Creek,2026-06-15,27.8,15.6,J. Alvarez
Tinker Creek,2026-06-15,53.1,12.4,R. Okafor
Toms Run,2026-06-15,37.2,11.9,M. Pham
Catawba Creek,2026-07-15,13.2,5.6,J. Alvarez
Stroubles Creek,2026-07-15,14.8,10.9,R. Okafor
Tinker Creek,2026-07-15,27.9,7.1,M. Pham
Toms Run,2026-07-15,21.7,6.3,J. Alvarez
Catawba Creek,2026-08-15,9.6,4.1,R. Okafor
Stroubles Creek,2026-08-15,11.3,7.8,M. Pham
Tinker Creek,2026-08-15,23.4,6.2,J. Alvarez
Toms Run,2026-08-15,17.8,5.5,R. Okafor
Catawba Creek,2026-09-15,13.3,6.5,M. Pham
Stroubles Creek,2026-09-15,15.9,13.2,J. Alvarez
Tinker Creek,2026-09-15,35.3,7.8,R. Okafor
Toms Run,2026-09-15,23.3,8.1,M. Pham
Catawba Creek,2026-10-15,20.4,7.4,J. Alvarez
Stroubles Creek,2026-10-15,25.0,15.7,R. Okafor
Tinker Creek,2026-10-15,46.5,11.8,M. Pham
Toms Run,2026-10-15,33.4,9.2,J. Alvarez
Catawba Creek,2026-11-15,29.9,10.2,R. Okafor
Stroubles Creek,2026-11-15,32.9,21.6,M. Pham
Tinker Creek,2026-11-15,69.1,16.3,J. Alvarez
Toms Run,2026-11-15,46.8,14.1,R. Okafor
Catawba Creek,2026-12-15,32.9,12.5,M. Pham
Stroubles Creek,2026-12-15,42.3,23.9,J. Alvarez
Tinker Creek,2026-12-15,76.0,18.1,R. Okafor
Toms Run,2026-12-15,59.1,16.1,M. Pham
